"costRank","State","costIndex","groceryCost","housingCost","utilitiesCost","transportationCost","miscCost"
"1","Hawaii","192.9000","169.3000","318.6000","172.7000","148.6000","116.8000"
"3","California","151.7000","121.4000","227.3000","117.7000","138.9000","114.5000"
"4","New York","139.1000","114.8000","204.4000","108.7000","116.6000","104.8000"
"5","Oregon","134.2000","110.3000","181.8000","88","136.7000","113.2000"
"6","Massachusetts","131.6000","113.9000","170.3000","109.7000","116","117.6000"
"7","Alaska","129.9000","134.2000","133.9000","154.2000","130.8000","150.9000"
"8","Maryland","129.7000","108.5000","184.5000","107.3000","116.7000","89.2000"
"9","Connecticut","127.7000","114.2000","144.7000","128.1000","111.8000","113.7000"
"10","New Jersey","125.1000","109.5000","163.1000","101.6000","111.1000","101.7000"
"11","Rhode Island","119.4000","106.2000","129.4000","123.5000","124","109.3000"
"12","Maine","117.5000","107","123.1000","116.1000","121.4000","121.8000"
"13","Vermont","114.5000","111.3000","126.7000","120.2000","119.9000","101.2000"
"14","Washington","110.7000","107.8000","117.8000","88.7000","121.7000","118.9000"
"15","New Hampshire","109.7000","100.4000","110.3000","119.5000","111.4000","116.1000"
"16","Nevada","108.5000","108.3000","121.8000","89","123.5000","105.7000"
"17","Delaware","108.1000","113.4000","98.2000","96.5000","107","101.6000"
"18","Montana","106.9000","105.1000","111.6000","83.9000","125","98.4000"
"19","Colorado","105.6000","102.5000","119","88.4000","101.2000","102.9000"
"20","Pennsylvania","101.7000","106.9000","100.8000","106","109.5000","91.9000"
"21","Minnesota","101.6000","106.7000","88.3000","96.8000","103.7000","108.6000"
"22","Virginia","100.7000","96.1000","108","99.2000","88.1000","97.2000"
"23","South Dakota","99.8000","107","109.8000","91.8000","89.8000","103"
"24","North Dakota","98.8000","108.1000","90.3000","93.6000","104.3000","111.7000"
"25","Utah","98.4000","98.5000","93.6000","89.4000","108.6000","96"
"26","Florida","97.9000","104","95.4000","102.2000","96.7000","96.9000"
"27","Wisconsin","97.3000","100.7000","91.4000","98.9000","98.1000","115.2000"
"28","Arizona","97","96.9000","91.7000","107.4000","109.6000","94.7000"
"29","South Carolina","95.9000","101.9000","85.1000","107.6000","88","94.2000"
"30","North Carolina","94.9000","96.6000","83.1000","97.9000","93.4000","110.6000"
"31","Illinois","94.5000","94.2000","87.2000","100.9000","100.9000","99"
"32","Louisiana","93.9000","99.9000","86.6000","89.3000","98.5000","98.8000"
"33","Idaho","92.3000","92.2000","87.1000","82.9000","106.7000","97.3000"
"34","Texas","91.5000","88.9000","85.3000","102.3000","91.4000","96.2000"
"35","West Virginia","91.1000","92.9000","79.6000","89","93.5000","89.1000"
"36","Kentucky","90.9000","89.9000","77.4000","97.6000","92.8000","89.2000"
"37","Ohio","90.8000","98.7000","73.6000","91.8000","96.7000","97.6000"
"38","Nebraska","90.8000","95.5000","80.9000","90.8000","94.3000","99.9000"
"39","Iowa","90.1000","95.9000","79.6000","95.3000","95.5000","97.8000"
"40","Indiana","90","93.3000","77.3000","97","93.1000","94.3000"
"42","Wyoming","89.3000","98.7000","72.3000","87.3000","99.3000","94.9000"
"41","Alabama","89.3000","97.4000","71.5000","103.3000","88.6000","90.8000"
"43","Georgia","89.2000","96.9000","73.8000","92.4000","97.6000","98.5000"
"44","Kansas","89","91.9000","73.8000","103","92.3000","98.9000"
"45","Michigan","88.9000","89.3000","75.2000","97.3000","97.4000","93"
"46","Tennessee","88.7000","93.3000","80.2000","93.4000","89.7000","88.5000"
"47","New Mexico","87.5000","100.9000","77.7000","87.9000","91.6000","100.1000"
"48","Missouri","87.1000","96.6000","70.6000","99.6000","87.3000","95.7000"
"49","Oklahoma","87","95.4000","71.9000","94.1000","89.5000","93.2000"
"50","Arkansas","86.9000","92","73.9000","91.8000","83.6000","85.6000"
"51","Mississippi","86.1000","91.6000","70.1000","89.1000","89.2000","91.4000"
